,outcome,mixed,intake
1,0.75,0.857142857,0.75
2,1,0.892857143,0.823529412
3,0.8125,0.740740741,0.8125
4,0.647058824,0.884615385,0.9375
5,0.9375,0.571428571,0.6875
6,0.875,0.884615385,0.75
7,1,0.740740741,0.823529412
8,0.6875,0.678571429,0.875
9,0.941176471,0.642857143,0.9375
10,0.875,0.928571429,0.875
11,0.9375,0.807692308,0.9375
12,0.882352941,0.821428571,0.625
13,0.9375,0.714285714,0.823529412
14,0.75,0.714285714,0.9375
15,0.625,0.888888889,0.9375
16,0.875,0.892857143,0.875
17,0.875,0.785714286,0.75
18,0.823529412,0.851851852,0.882352941
19,0.9375,0.884615385,0.875
20,0.6875,0.678571429,1
21,0.9375,0.925925926,0.8125
22,0.875,0.925925926,0.9375
23,0.8125,0.714285714,0.875
24,0.823529412,0.642857143,0.75
25,0.875,0.703703704,0.764705882
26,0.625,0.892857143,0.9375
27,0.8125,0.666666667,1
28,0.882352941,0.75,0.8125
29,0.875,0.62962963,0.75
30,0.875,0.888888889,0.764705882
31,0.8125,0.928571429,0.8125
32,0.875,0.888888889,0.8125
33,0.882352941,0.75,0.875
34,0.8125,0.703703704,0.875
35,1,0.740740741,0.941176471
36,0.882352941,0.785714286,0.75
37,0.8125,0.714285714,0.823529412
38,0.625,0.666666667,0.8125
39,0.875,0.925925926,0.9375
40,1,0.814814815,0.75
41,1,0.888888889,0.75
42,0.9375,0.714285714,0.9375
43,0.75,0.62962963,0.9375
44,0.875,0.814814815,0.8125
45,0.764705882,0.857142857,0.823529412
46,0.823529412,0.857142857,0.764705882
47,0.875,0.692307692,0.875
48,0.875,0.75,0.75
49,0.8125,0.888888889,0.875
50,0.8125,0.75,0.9375
